Sample,Rjct,Data File,Acq. Date-Time,Type,Level,Solution Label,Total Dil.,Vial Number,7  Li  [ No Gas ] ,7  Li  [ He ] ,9  Be  [ No Gas ] ,9  Be  [ He ] ,45  Sc  [ No Gas ] ,45  Sc  [ He ] ,51  V  [ No Gas ] ,51  V  [ He ] ,52  Cr  [ No Gas ] ,52  Cr  [ He ] ,59  Co  [ No Gas ] ,59  Co  [ He ] ,60  Ni  [ No Gas ] ,60  Ni  [ He ] ,63  Cu  [ No Gas ] ,63  Cu  [ He ] ,66  Zn  [ No Gas ] ,66  Zn  [ He ] ,71  Ga  [ No Gas ] ,71  Ga  [ He ] ,85  Rb  [ No Gas ] ,85  Rb  [ He ] ,88  Sr  [ No Gas ] ,88  Sr  [ He ] ,89  Y  [ No Gas ] ,89  Y  [ He ] ,90  Zr  [ No Gas ] ,90  Zr  [ He ] ,95  Mo  [ No Gas ] ,95  Mo  [ He ] ,107  Ag  [ No Gas ] ,107  Ag  [ He ] ,111  Cd  [ No Gas ] ,111  Cd  [ He ] ,118  Sn  [ No Gas ] ,118  Sn  [ He ] ,121  Sb  [ No Gas ] ,121  Sb  [ He ] ,133  Cs  [ No Gas ] ,133  Cs  [ He ] ,137  Ba  [ No Gas ] ,137  Ba  [ He ] ,138  Ba  [ He ] ,139  La  [ No Gas ] ,139  La  [ He ] ,140  Ce  [ No Gas ] ,140  Ce  [ He ] ,141  Pr  [ No Gas ] ,141  Pr  [ He ] ,146  Nd  [ No Gas ] ,146  Nd  [ He ] ,147  Sm  [ No Gas ] ,147  Sm  [ He ] ,153  Eu  [ No Gas ] ,153  Eu  [ He ] ,157  Gd  [ No Gas ] ,157  Gd  [ He ] ,159  Tb  [ No Gas ] ,159  Tb  [ He ] ,163  Dy  [ No Gas ] ,163  Dy  [ He ] ,165  Ho  [ No Gas ] ,165  Ho  [ He ] ,166  Er  [ No Gas ] ,166  Er  [ He ] ,169  Tm  [ No Gas ] ,169  Tm  [ He ] ,172  Yb  [ No Gas ] ,172  Yb  [ He ] ,175  Lu  [ No Gas ] ,175  Lu  [ He ] ,178  Hf  [ No Gas ] ,178  Hf  [ He ] ,181  Ta  [ No Gas ] ,181  Ta  [ He ] ,205  Tl  [ No Gas ] ,205  Tl  [ He ] ,206  [Pb]  [ He ] ,207  [Pb]  [ He ] ,208  Pb  [ No Gas ] ,208  Pb  [ He ] ,209  Bi  [ No Gas ] ,209  Bi  [ He ] ,232  Th  [ No Gas ] ,232  Th  [ He ] ,238  U  [ No Gas ] ,238  U  [ He ] ,103  Rh ( ISTD )  [ No Gas ] ,,103  Rh ( ISTD )  [ He ] ,
137  Ba  [ No Gas ] :  Concentration value = 249.06 is over the calibration range137  Ba  [ He ] :  Concentration value = 209.67 is over the calibration range138  Ba  [ He ] :  Concentration value = 226.00 is over the calibration range140  Ce  [ He ] :  CPS RSD value = 8.34 is over the allowed maximum = 5.00166  Er  [ No Gas ] :  CPS RSD value = 5.32 is over the allowed maximum = 5.00205  Tl  [ He ] :  CPS RSD value = 5.97 is over the allowed maximum = 5.00209  Bi  [ He ] :  CPS RSD value = 5.58 is over the allowed maximum = 5.00,FALSE,154SMPL.d,14-05-2025 22:00,Sample,,MCS 683,3485.5901,3101,38549.863,40035.314,3142.769,3153.425,13576.803,14529.108,117575.401,108392.26,95950.6,84004.111,16049.725,16032.209,33479.581,33746.441,27298.948,26877.024,92534.276,85590.989,25736.607,29023.341,243846.192,210073.542,88910.492,73934.278,25870.345,25827.757,8909.561,9158.647,626.938,635.1,<0.000,<0.000,<0.000,<0.000,7245.305,7376.908,502.722,436.268,11952.48,11820.364,868108.206,730814.332,787733.259,80508.018,71205.773,168795.301,148548.94,16202.454,16063.179,63737.143,62071.23,11857.324,11952.867,2018.717,1837.528,11066.281,10124.016,1353.584,1265.293,6988.405,6661.444,1100.893,1106.008,2957.013,2898.104,350.718,359.86,2421.456,2438.697,297.232,286.814,326.799,316.586,1841.762,1797.638,1137.783,1125.202,34557.583,32002.676,31326.567,32610.147,606.461,575.289,32806.615,33249.833,4941.775,5118.745,,,,
118  Sn  [ He ] :  CPS RSD value = 5.99 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 232.25 is over the calibration range137  Ba  [ He ] :  Concentration value = 202.17 is over the calibration range138  Ba  [ He ] :  Concentration value = 210.60 is over the calibration range169  Tm  [ No Gas ] :  CPS RSD value = 6.15 is over the allowed maximum = 5.00207  [Pb]  [ He ] :  CPS RSD value = 5.38 is over the allowed maximum = 5.00,FALSE,155SMPL.d,14-05-2025 22:04,Sample,,MCS 684,3708.8763,3102,35942.366,34952.002,2457.565,2465.165,11371.479,12353.329,99841.918,93605.439,84241.2,74521.987,14144.391,13976.996,28281.394,28714.236,25177.973,25304.802,75331.477,70453.604,22879.226,28483.83,221921.321,190276.543,88969.997,75451.501,25282.41,24893.086,3889.891,3910.593,556.23,522.972,<0.000,<0.000,16.806,<0.000,6118.532,6524.449,247.988,230.657,10010.213,10222.962,861390.821,749832.105,781086.67,96557.421,88754.858,201725.883,190087.186,20184.216,19707.943,77654.458,75771.866,14156.196,14279.829,2175.895,2076.724,13310.325,11936.901,1475.103,1374.378,7206.943,6962.262,1094.044,1082.534,2863.224,2829.247,338.293,308.336,2313.654,2221.308,284.456,276.541,146.463,123.125,1663.45,1754,992.524,960.671,28117.588,25652.371,25664.673,26556.185,417.48,391.301,42085.174,42546.364,5623.254,5934.929,,,,
137  Ba  [ No Gas ] :  Concentration value = 120.82 is over the calibration range137  Ba  [ No Gas ] :  CPS RSD value = 8.65 is over the allowed maximum = 5.00137  Ba  [ He ] :  Concentration value = 111.55 is over the calibration range138  Ba  [ He ] :  Concentration value = 105.39 is over the calibration range139  La  [ No Gas ] :  CPS RSD value = 9.40 is over the allowed maximum = 5.00169  Tm  [ No Gas ] :  CPS RSD value = 5.01 is over the allowed maximum = 5.00238  U  [ He ] :  CPS RSD value = 6.80 is over the allowed maximum = 5.00,FALSE,156SMPL.d,14-05-2025 22:08,Sample,,MCS 685,3480.5924,3103,18634.2,20007.188,2008.957,2088.548,7511.322,7983.301,41987.271,43659.756,40322.819,40308.502,5665.277,5493.166,12964.797,13390.007,12592.855,12830.359,33582.478,30723.577,13770.188,15503.396,105084.343,93089.988,72891.54,60334.355,22047.017,22872.372,6302.573,6225.307,518.416,635.201,<0.000,<0.000,<0.000,<0.000,3066.079,2890.343,183.513,124.464,5828.129,5879.347,420532.273,388251.747,366807.615,38770.853,37898.663,87234.141,74211.963,8492.327,8525.927,33377.043,33349.643,6198.941,6204.825,1208.758,1138.489,6147.654,5457.221,853.269,797.905,5403.061,5020.068,991.187,1012.136,2982.231,3048.746,433.491,411.561,3052.92,3092.034,406.76,390.14,203.159,195.67,737.403,722.474,455.317,443.399,31530.617,27906.025,29212.044,29615.726,299.831,286.984,19370.713,20078.296,2712.529,2867.472,,,,
89  Y  [ No Gas ] :  CPS RSD value = 8.89 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 178.91 is over the calibration range137  Ba  [ He ] :  Concentration value = 156.45 is over the calibration range138  Ba  [ He ] :  Concentration value = 160.50 is over the calibration range166  Er  [ No Gas ] :  CPS RSD value = 5.60 is over the allowed maximum = 5.00205  Tl  [ No Gas ] :  CPS RSD value = 5.01 is over the allowed maximum = 5.00,FALSE,157SMPL.d,14-05-2025 22:12,Sample,,MCS 686,3675.7148,3104,32304.471,34474.715,2718.999,2443.124,11728.493,12331.954,88714.645,79022.801,74177.991,66363.17,11692.073,11417.861,24419.722,25169.48,16296.548,15736.153,117298.429,107204.064,22384.758,24165.687,140405.907,117391.089,78435.766,65901.057,33045.687,31115.514,11412.961,11565.725,1136.513,1168.92,4.615,<0.000,54.134,20.704,5800.191,5627.248,251.49,258.124,9115.444,8878.394,657610.467,575082.474,589942.121,63590.279,56962.213,129714.708,110488.926,13190.976,12992.136,49945.995,50111.207,9388.899,9224.363,1837.31,1742.558,9250.653,8479.789,1222.154,1154.161,7232.513,6888.486,1340.538,1324.582,3866.205,3841.953,520.97,510.283,3740.834,3720.493,476.816,491.42,410.416,396.603,1469.595,1413.625,750.156,779.164,40574.813,39612.607,38844.468,39920.262,438.635,388.801,25877.945,26123.823,4242.399,4238.778,,,,
137  Ba  [ No Gas ] :  Concentration value = 260.15 is over the calibration range137  Ba  [ He ] :  Concentration value = 230.95 is over the calibration range138  Ba  [ He ] :  Concentration value = 245.07 is over the calibration range147  Sm  [ No Gas ] :  CPS RSD value = 5.34 is over the allowed maximum = 5.00172  Yb  [ He ] :  CPS RSD value = 6.20 is over the allowed maximum = 5.00175  Lu  [ No Gas ] :  CPS RSD value = 6.28 is over the allowed maximum = 5.00238  U  [ He ] :  CPS RSD value = 5.03 is over the allowed maximum = 5.00,FALSE,158SMPL.d,14-05-2025 22:16,Sample,,MCS 687,3540.737,3105,46698.922,49756.155,3134.017,2647.585,12704.635,13610.52,114698.386,103712.327,94616.278,80685.656,14042.134,13950.747,30323.829,30853.446,26147.772,26236.415,83016.159,75337.427,26621.398,28050.919,228390.544,192363.169,71937.966,59357.244,21585.442,21597.635,7646.117,7840.83,333.358,294.826,<0.000,<0.000,<0.000,<0.000,7330.227,7540.567,190.063,178.913,13918.983,13899.7,921117.244,817749.428,867724.656,53792.222,48495.467,107992.843,93242.241,11112.721,11018.155,41553.815,40907.29,8007.911,8084.97,1515.513,1377.503,7819.972,7061.017,941.342,909.313,5448.189,5215.13,859.108,890.414,2497.665,2454.8,301.863,294.738,2159.84,2133.633,264.327,255.049,301.616,265.59,1747.071,1705.533,1077.244,1080.584,31925.18,30415.703,29598.699,30117.065,612.49,581.118,21851.773,22080.978,3492.341,3551.839,,,,
205  Tl  [ He ] :  CPS RSD value = 7.23 is over the allowed maximum = 5.00,FALSE,159_QC1.d,14-05-2025 22:20,QC1,,QC MES 50 ppb,1,4102,56.162,50.032,52.148,51.491,45.095,42.195,52.098,47.166,51.231,45.251,53.001,45.541,43.818,45.113,51.891,45.481,44.36,41.226,54.276,46.424,54.484,47.412,52.372,43.649,54.983,49.008,53.997,47.486,48.175,48.949,55.874,49.33,50.89,50.658,57.87,50.34,58.097,50.082,57.023,50.575,55.973,54.938,53.915,57.803,51.264,57.003,54.422,58.655,57.213,51.232,52.731,52.167,52.272,60.436,53.073,55.774,54.256,60.443,59.582,64.249,53.425,59.312,60.235,61.385,55.013,61.529,60.666,54.471,56.115,60.609,54.51,65.778,57.037,60.58,57.233,64.614,61.693,57.115,60.152,62.563,57.051,64.25,63.273,64.231,65.253,64.942,67.308,,,,
137  Ba  [ No Gas ] :  Concentration value = 163.35 is over the calibration range137  Ba  [ He ] :  Concentration value = 139.38 is over the calibration range138  Ba  [ He ] :  Concentration value = 148.90 is over the calibration range159  Tb  [ He ] :  CPS RSD value = 7.05 is over the allowed maximum = 5.00163  Dy  [ He ] :  CPS RSD value = 6.19 is over the allowed maximum = 5.00165  Ho  [ He ] :  CPS RSD value = 6.99 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ No Gas ] :  CPS RSD value = 5.29 is over the allowed maximum = 5.00,FALSE,160SMPL.d,14-05-2025 22:24,Sample,,MCS 688,4054.645,3106,37358.82,37710.667,2465.716,2769.847,11247.93,11570.062,92612.118,84508.246,76934.474,68896.407,11294.522,10767.103,28723.712,30419.491,25485.999,24741.41,73896.878,68358.925,22548.972,23959.078,172156.143,146284.115,66517.793,53253.718,24850.649,24585.955,14232.396,13872.314,839.604,862.323,127.451,92.089,<0.000,<0.000,5821.928,5963.384,357.111,291.036,11204.793,11005.095,662316.08,565126.023,603737.903,57325.928,51872.81,121487.512,101188.683,11938.921,12128.486,46820.885,46075.745,8974.139,8911.481,1690.621,1532.7,8858.146,8078.486,1116.529,1051.034,6462.392,6198.055,1098.538,1100.611,3125.236,3211.034,436.703,413.068,2838.483,2846.544,409.304,411.522,589.905,554.97,1756.888,1877.249,906.083,888.246,36294.837,34686.143,33692.436,35009.49,557.579,524.124,24173.76,24380.583,4359.719,4597.977,,,,
90  Zr  [ No Gas ] :  CPS RSD value = 9.66 is over the allowed maximum = 5.00118  Sn  [ No Gas ] :  CPS RSD value = 8.17 is over the allowed maximum = 5.00133  Cs  [ No Gas ] :  CPS RSD value = 5.69 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 355.09 is over the calibration range137  Ba  [ He ] :  Concentration value = 309.26 is over the calibration range138  Ba  [ He ] :  Concentration value = 322.55 is over the calibration range139  La  [ No Gas ] :  CPS RSD value = 6.17 is over the allowed maximum = 5.00141  Pr  [ He ] :  CPS RSD value = 5.26 is over the allowed maximum = 5.00147  Sm  [ No Gas ] :  CPS RSD value = 6.12 is over the allowed maximum = 5.00157  Gd  [ No Gas ] :  CPS RSD value = 6.08 is over the allowed maximum = 5.00159  Tb  [ He ] :  CPS RSD value = 5.98 is over the allowed maximum = 5.00163  Dy  [ No Gas ] :  CPS RSD value = 5.03 is over the allowed maximum = 5.00166  Er  [ He ] :  CPS RSD value = 5.10 is over the allowed maximum = 5.00172  Yb  [ No Gas ] :  CPS RSD value = 6.42 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ No Gas ] :  CPS RSD value = 38.76 is over the allowed maximum = 5.00,FALSE,161_QC2.d,14-05-2025 22:28,QC2,,SJS-Std,3650.7995,4103,51213.532,54658.066,1518.66,1718.816,9316.17,9966.136,118683.373,105169.003,127561.478,110722.932,11736.938,11482.328,74809.487,76156.329,31891.923,31529.297,97913.202,86243.63,15452.839,16258.786,110537.948,90865.412,281667.558,237356.927,15965.986,15453.09,67035.136,61028.602,3360.301,3510.47,308.593,187.363,422.49,377.876,1463.799,1464.651,1479.905,1499.711,5291.623,5312.376,1296364.649,1129038.265,1177555.445,20583.347,21624.147,42746.56,40887.524,4801.702,4902.551,18849.501,18766.603,3676.632,3746.939,1098.729,854.839,3885.199,3589.904,534.099,466.588,3369.636,3211.415,631.432,607.414,1878.934,1845.688,273.736,256.629,1878.147,1840.432,266.346,264.973,2414.194,2423.525,1019.78,1105.867,629.472,622.197,22698.924,20847.639,20898.866,21366.39,307.689,285.735,11299.032,11203.18,3688.202,3880.432,,,,
118  Sn  [ He ] :  CPS RSD value = 6.25 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 200.88 is over the calibration range137  Ba  [ He ] :  Concentration value = 170.14 is over the calibration range138  Ba  [ He ] :  Concentration value = 182.69 is over the calibration range165  Ho  [ He ] :  CPS RSD value = 6.16 is over the allowed maximum = 5.00172  Yb  [ He ] :  CPS RSD value = 5.05 is over the allowed maximum = 5.00,FALSE,162SMPL.d,14-05-2025 22:32,Sample,,MCS 689,3742.6767,3107,36434.239,38290.428,2631.739,2176.677,11460.242,12190.631,88389.748,80484.325,86646.195,74415.652,11765.65,11681.659,27245.411,27903.651,21170.545,21016.404,75038.908,69087.8,24139.896,26030.48,185884.55,160455.266,60144.508,49816.142,25712.609,25965.422,11129.422,10891.823,726.16,702.581,<0.000,<0.000,5.451,<0.000,5534.311,5358.419,329.103,277.373,9322.844,9425.585,751841.105,636794.862,683732.164,57327.825,51261.115,128191.864,108050.322,12115.289,11804.094,45891.496,45925.146,9174.964,8668.687,1699.647,1602.309,9291.503,8172.065,1137.417,1079.134,6563.533,6160.693,1071.017,1034.33,3077.102,3097.578,402.89,385.056,2770.331,2728.684,368.082,345.321,374.967,386.829,1351.194,1302.338,857.685,820.316,37595.916,34547.563,36548.47,35503.651,416.783,386.32,23746.126,23065.154,3918.199,4141.551,,,,
9  Be  [ No Gas ] :  CPS RSD value = 6.06 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 157.73 is over the calibration range137  Ba  [ He ] :  Concentration value = 132.86 is over the calibration range138  Ba  [ He ] :  Concentration value = 147.16 is over the calibration range146  Nd  [ No Gas ] :  CPS RSD value = 5.42 is over the allowed maximum = 5.00153  Eu  [ He ] :  CPS RSD value = 5.18 is over the allowed maximum = 5.00,FALSE,163SMPL.d,14-05-2025 22:36,Sample,,MCS 690,3922.2295,3108,30719.825,30677.103,1879.823,1991.439,9137.676,10071.25,75196.788,69644.433,62643.918,53699.971,9524.856,9507.965,23234.825,22457.073,17679.659,17892.027,57244.469,51840.738,18815.413,22762.531,152326.988,127240.887,57499.674,47334.645,20115.501,19914.866,9913.792,9968.377,566.828,531.432,<0.000,<0.000,<0.000,<0.000,4647.746,4856.886,247.837,188.027,8728.374,8641.291,618639.376,521098.698,577197.195,65512.602,57564.494,137091.4,118485.474,13672.39,13559.945,53282.092,52876.331,10205.748,10298.985,1638.238,1481.938,9889.494,9023.878,1116.957,1024.517,5650.196,5514.335,828.056,871.637,2389.166,2399.964,304.484,274.017,2153.67,2169.129,292.689,256.256,333.205,359.932,1237.121,1172.003,663.182,703.438,33099.873,31087.553,31591.317,31741.703,370.198,348.986,25207.902,25660.736,4236.7,4378.104,,,,
137  Ba  [ No Gas ] :  Concentration value = 152.33 is over the calibration range137  Ba  [ He ] :  Concentration value = 132.18 is over the calibration range138  Ba  [ He ] :  Concentration value = 131.88 is over the calibration range138  Ba  [ He ] :  CPS RSD value = 6.98 is over the allowed maximum = 5.00172  Yb  [ He ] :  CPS RSD value = 5.24 is over the allowed maximum = 5.00175  Lu  [ No Gas ] :  CPS RSD value = 5.88 is over the allowed maximum = 5.00205  Tl  [ He ] :  CPS RSD value = 5.10 is over the allowed maximum = 5.00,FALSE,164SMPL.d,14-05-2025 22:41,Sample,,MCS 691,4028.1393,3109,27529.683,29609.616,1733.074,2231.141,9744.694,10222.031,79994.793,73995.044,73170.376,64559.811,9624.019,9592.429,23658.179,24201.348,23604.915,23611.083,96535.658,87688.021,19173.707,22719.574,154648.864,131109.474,45972.111,36842.565,20884.522,20411.7,8983.179,8964.178,663.361,632.273,<0.000,<0.000,14.341,<0.000,4985.39,4897.12,240.289,215.023,8217.087,8208.361,613613.582,532458.323,531235.058,72804.007,67716.809,155762.702,127236.375,15142.849,15389.186,58828.522,58418.784,11153.54,11236.921,1679.254,1688.087,10193.899,9263.524,1169.341,1106.354,5958.569,5746.511,916.516,916.668,2429.511,2351.288,306.622,287.79,2209.997,2098.27,272.336,278.87,313.739,297.735,1308.927,1262.094,656.925,638.536,29377.54,26369.975,27211.33,27311.531,361.126,326.875,30725.589,30792.373,4478.072,4812.798,,,,
137  Ba  [ No Gas ] :  Concentration value = 192.45 is over the calibration range137  Ba  [ He ] :  Concentration value = 165.07 is over the calibration range138  Ba  [ He ] :  Concentration value = 172.65 is over the calibration range175  Lu  [ No Gas ] :  CPS RSD value = 5.01 is over the allowed maximum = 5.00,FALSE,165SMPL.d,14-05-2025 22:45,Sample,,MCS 692,3679.7351,3110,32750.379,33687.634,3267.667,3261.096,11212.369,11957.948,85608.689,77266.232,73617.232,66316.233,13140.295,12984.385,23686.117,23807.342,14978.013,14777.175,71628.078,63581.317,21470.748,25170.563,136053.702,113496.165,86198.335,72379.076,29559.923,29277.218,8670.031,8712.67,788.454,763.368,<0.000,<0.000,296.589,256.504,5637.507,5620.254,214.953,159.237,8979.909,8966.878,708150.178,607415.015,635311.564,82644.826,75088.334,168173.754,141241.847,16771.072,16895.859,63445.417,63043.896,12385.569,12409.851,1998.383,1833.675,11951.734,10567.833,1376.26,1292.198,7657.304,7283.967,1215.758,1288.14,3363.985,3252.094,434.678,426.635,3066.067,3108.852,392.53,385.295,304.293,322.118,1396.681,1367.921,1011.997,1030.208,38484.708,33959.509,34846.364,36177.96,365.725,349.414,30180.77,31003.866,5425.786,5418.207,,,,
137  Ba  [ No Gas ] :  Concentration value = 197.54 is over the calibration range137  Ba  [ He ] :  Concentration value = 168.88 is over the calibration range138  Ba  [ He ] :  Concentration value = 178.97 is over the calibration range153  Eu  [ He ] :  CPS RSD value = 5.83 is over the allowed maximum = 5.00169  Tm  [ No Gas ] :  CPS RSD value = 5.08 is over the allowed maximum = 5.00238  U  [ He ] :  CPS RSD value = 5.84 is over the allowed maximum = 5.00,FALSE,166SMPL.d,14-05-2025 22:49,Sample,,MCS 693,3682.5198,3111,35191.747,35240.087,2522.741,2821.593,9352.071,9917.327,79425.732,71101.981,65206.044,57513.919,10447.846,10085.273,20101.745,20773.213,19531.581,19405.455,64185.432,57405.76,19430.99,23071.939,187372.916,159987.892,86557.266,70567.711,22352.444,22594.345,5462.18,5515.454,274.503,219.02,<0.000,<0.000,<0.000,<0.000,5030.135,4971.545,147.435,118.325,9530.164,9352.878,727452.522,621897.747,659045.79,86318.84,78532.872,179348.606,144516.103,17379.456,17427.666,67523.808,65636.875,12816.778,12745.103,2046.826,1875.047,11850.653,10500.502,1338.551,1219.122,6236.418,5997.091,973.435,968.815,2630.658,2711.737,332.424,318.594,2280.645,2264.995,291.673,284.14,190.846,166.654,1301.835,1289.315,768.689,790.402,28497.682,25730.513,26094.858,26559.933,380.725,344.074,36585.609,37166.922,5122.548,5263.577,,,,
95  Mo  [ No Gas ] :  CPS RSD value = 5.42 is over the allowed maximum = 5.00118  Sn  [ He ] :  CPS RSD value = 5.04 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 260.39 is over the calibration range137  Ba  [ He ] :  Concentration value = 223.92 is over the calibration range138  Ba  [ He ] :  Concentration value = 232.73 is over the calibration range172  Yb  [ No Gas ] :  CPS RSD value = 5.11 is over the allowed maximum = 5.00,FALSE,167SMPL.d,14-05-2025 22:53,Sample,,MCS 694,3497.1867,3112,43616.52,46870.923,2270.207,2615.053,12584.209,13492.821,110417.165,100692.317,87712.762,76434.623,14428.895,14061.579,31244.248,31937.421,28956.129,28251.758,101230.535,94106.279,25228.292,30276.35,231738.193,197249.506,45157.199,37103.981,26158.068,26037.613,10436.222,10613.842,829.283,794.505,<0.000,<0.000,<0.000,<0.000,7289.171,7308.697,303.438,263.713,12704.959,12409.582,910631.107,783095.379,813914.104,99279.419,90313.721,218903.831,201859.021,20462.907,20548.042,79198.956,78449.608,14822.388,14640.147,2031.351,1910.726,13884.983,12018.528,1591.561,1459.111,7687.276,7235.73,1141.998,1153.953,3144.746,3093.996,387.882,373.135,2751.617,2707.973,359.652,375.026,383.392,353.24,1756.155,1690.067,1002.628,970.378,35358.823,30656.62,32923.655,32789.777,446.163,381.326,41924.769,42241.151,6113.284,6394.629,,,,
9  Be  [ No Gas ] :  CPS RSD value = 5.31 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 163.69 is over the calibration range137  Ba  [ He ] :  Concentration value = 139.67 is over the calibration range138  Ba  [ He ] :  Concentration value = 145.78 is over the calibration range,FALSE,168SMPL.d,14-05-2025 22:57,Sample,,MCS 695,3807.4282,3201,30541.741,31443.274,2723.66,2811.855,10163.227,10320.539,84808.503,76095.493,71825.741,63667.359,9538.53,9183.614,23046.57,23654.31,18903.492,18148.298,113451.394,101124.942,20558.033,22191.779,127674.472,107706.137,60337.772,48626.159,26857.93,26519.137,11421.38,11375.308,630.626,574.431,<0.000,<0.000,<0.000,<0.000,5300.877,5200.186,196.709,174.628,10030.972,9463.823,623241.286,531798.318,555061.423,53981.717,47965.933,114025.916,92179.011,11154.09,10779.98,42768.38,40934.07,8220.148,7972.569,1566.133,1394.138,8171.313,7122.822,1065.17,974.508,6495.002,6043.097,1144.406,1105.559,3228.292,3221.539,440.26,406.647,2934.67,2960.383,383.435,399.965,394.907,364.303,1406.811,1358.637,688.509,714.483,35924.045,34109.001,33460.071,34435.418,444.918,430.681,23614.986,24169.563,3678.147,3667.093,,,,
137  Ba  [ No Gas ] :  Concentration value = 168.32 is over the calibration range137  Ba  [ He ] :  Concentration value = 147.81 is over the calibration range138  Ba  [ He ] :  Concentration value = 162.02 is over the calibration range,FALSE,169SMPL.d,14-05-2025 23:01,Sample,,MCS 696,4050.7843,3202,32190.237,32817.552,2926.317,2430.657,10955.632,11765.546,87614.661,79194.014,75795.527,65588.854,10677.798,10413.946,23005.999,22740.915,15281.007,15356.119,218534.214,200810.055,22454.043,26726.967,138836.742,118025.532,99773.369,82046.929,30216.648,30302.432,10886.234,11081.6,991.636,990.799,<0.000,<0.000,119.316,88.419,5838.057,5989.613,286.745,262.422,9039.178,9235.961,681834.767,598735.068,656326.507,98170.602,86180.409,193563.082,192879.447,20142.708,19108.548,74493.676,75539.246,14170.686,14276.611,2240.464,2112.394,13257.259,12139.946,1546.306,1438.793,8189.097,7842.745,1325.122,1294.599,3593.887,3681.128,467.651,461.786,3158.43,3343.945,422.612,414.178,396.45,381.878,1558.894,1537.225,749.327,739.955,47145.891,42904.389,44265.061,44474.628,415.619,385.75,39562.402,39589.149,6014.472,5861.139,,,,
45  Sc  [ He ] :  CPS RSD value = 7.21 is over the allowed maximum = 5.00121  Sb  [ No Gas ] :  CPS RSD value = 5.17 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 186.94 is over the calibration range137  Ba  [ He ] :  Concentration value = 164.09 is over the calibration range138  Ba  [ He ] :  Concentration value = 171.10 is over the calibration range205  Tl  [ He ] :  CPS RSD value = 5.04 is over the allowed maximum = 5.00,FALSE,170SMPL.d,14-05-2025 23:05,Sample,,MCS 697,3564.2672,3203,33303.725,35945.885,1920.738,1645.173,9491.465,10310.752,79114.963,72266.935,65511.114,56805.632,9524.876,9377.078,22207.527,22282.016,20965.632,20593.804,58090.214,52824.521,20096.508,24321.12,173131.209,144206.346,44831.673,35455.101,24498.801,24374.567,8183.14,8190.764,572.313,572.905,<0.000,<0.000,<0.000,<0.000,5517.6,5511.562,236.806,145.928,10551.806,10442.074,666293.488,584845.763,609853.712,98672.131,87880.613,199535.837,191225.972,20168.402,19960.79,76623.045,75846.123,14300.107,14002.078,1929.196,1849.013,13251.368,11728.03,1472.691,1352.679,7311.185,6911.456,1052.519,1031.506,2786.758,2804.991,332.722,307.852,2362.995,2398.552,306.564,283.3,280.912,252.284,1544.02,1460.362,785.1,790.098,31477.576,29464.076,30474.188,30026.904,393.856,386.315,40394.626,38470.641,5796.58,6070.843,,,,
206  [Pb]  [ He ] :  CPS RSD value = 5.34 is over the allowed maximum = 5.00209  Bi  [ He ] :  CPS RSD value = 8.38 is over the allowed maximum = 5.00,FALSE,171_QC1.d,14-05-2025 23:09,QC1,,QC MES 50 ppb,1,4102,56.689,50.997,52.036,50.391,45.816,41.877,52.506,46.687,52.062,44.508,52.234,44.974,44.015,45.224,51.084,45.528,44.284,41.251,53.855,47.177,55.736,46.24,52.157,44.14,56.463,48.277,54.292,47.932,48.795,49.399,57.479,49.936,51.99,51.462,58.651,50.572,59.239,51.757,58.442,50.574,57.669,56.699,53.774,57.346,58.328,59.381,55.087,59.396,57.996,53.503,52.427,53.026,53.492,61.68,53.457,57.37,54.801,60.066,60.134,65.894,54.292,60.243,60.406,61.836,56.108,62.054,60.728,55.413,56.968,61.68,53.428,65.199,56.528,60.822,60.241,65.313,56.312,60.483,57.827,64.844,58.623,66.424,60.94,64.165,67.963,65.722,66.947,,,,
